participant,event,vividness,confidence,age,detail_object,detail_person,detail_place,gist_object,gist_person,gist_place
110,1,4.5,4.5,0,1,0,0,1,0,1
110,8,1.027777778,1.027777778,0,0,0,0,1,0,0
110,16,2.283333333,2.277777778,0,0,1,0,1,1,0
110,6,1.483333333,2.25,0,1,0,0,1,0,1
110,3,1.011111111,1.005555556,0,1,0,0,1,0,0
110,9,1.588888889,2.811111111,0,0,0,1,1,0,1
110,5,2.488888889,2.411111111,0,0,1,1,0,1,1
110,19,1.794444444,1.755555556,0,1,1,0,1,1,0
110,20,1.116666667,1.105555556,0,0,0,0,0,0,0
110,13,1.755555556,1.755555556,0,0,0,0,1,1,0
110,17,3.416666667,3.416666667,0,0,0,0,0,0,0
110,2,1.0,1.0,0,1,0,0,1,0,1
110,24,3.0,2.488888889,0,0,0,1,0,0,1
110,22,1.016666667,1.016666667,0,0,0,0,0,1,0
110,10,5.844444444,5.844444444,0,1,1,1,1,1,1
110,7,1.077777778,1.088888889,0,0,1,0,1,1,1
110,11,2.827777778,2.833333333,0,0,1,0,1,1,0
110,14,1.772222222,2.372222222,0,0,1,0,0,1,0
110,4,2.45,2.45,0,1,0,1,1,0,1
110,15,1.077777778,1.077777778,0,0,0,0,0,0,0
110,18,2.222222222,2.244444444,0,0,1,0,1,1,0
110,21,2.355555556,2.355555556,0,0,0,0,0,0,1
111,13,5.141061453,5.38547486,0,1,0,1,1,1,1
111,22,2.194134078,3.611731844,0,0,0,0,0,0,0
111,18,5.029329609,5.490223464,0,0,1,1,1,1,1
111,3,1.00698324,1.733240223,0,1,0,0,1,0,0
111,4,3.751396648,4.687150838,0,0,1,1,1,1,1
111,10,1.691340782,2.87849162,0,0,1,1,1,1,1
111,9,2.145251397,3.409217877,0,1,1,1,1,1,1
111,24,1.020949721,1.251396648,0,0,0,0,0,0,0
111,19,1.446927374,3.297486034,0,0,0,1,0,0,1
111,11,4.980446927,5.69273743,0,1,1,1,1,1,1
111,15,3.297486034,4.42877095,0,1,1,1,1,1,1
111,23,2.229050279,2.892458101,0,0,0,1,0,0,1
111,14,5.581005587,5.581005587,0,1,1,1,1,1,1
111,8,5.217877095,4.73603352,0,1,1,1,1,1,1
111,12,4.296089385,4.952513966,0,1,1,1,1,1,1
111,5,5.238826816,5.182960894,0,1,1,0,1,1,1
111,21,1.30726257,1.879888268,0,1,0,1,1,1,1
111,17,3.437150838,4.43575419,0,1,0,0,1,0,1
111,6,1.293296089,2.57122905,0,1,1,1,1,1,1
111,1,4.12150838,5.05027933,0,1,1,1,1,1,1
111,2,4.777932961,5.092178771,0,1,1,1,1,1,1
111,16,4.533519553,4.882681564,0,1,1,1,1,1,1
111,20,3.48603352,4.917597765,0,0,1,1,1,1,1
111,7,2.389664804,4.205307263,0,1,0,1,1,1,1
112,10,3.583333333,3.455555556,0,1,1,1,1,1,1
112,21,4.516666667,5.35,0,1,1,1,1,1,1
112,9,3.65,5.572222222,0,1,0,1,1,0,1
112,19,1.027777778,2.283333333,0,0,0,1,0,0,1
112,8,2.183333333,4.044444444,0,0,1,1,1,1,1
112,11,1.111111111,2.738888889,0,1,1,1,1,1,1
112,6,1.927777778,1.927777778,0,1,1,1,1,1,1
112,2,4.422222222,5.916666667,0,1,1,1,1,1,1
112,5,5.961111111,5.961111111,0,1,0,0,1,1,1
112,14,3.416666667,4.427777778,0,1,1,1,1,1,1
112,22,2.233333333,4.027777778,0,1,1,1,1,1,1
112,3,2.683333333,3.805555556,0,0,1,0,1,1,1
112,15,2.261111111,3.438888889,0,0,1,1,0,1,1
112,12,2.355555556,3.538888889,0,0,0,1,1,1,1
112,4,3.944444444,4.827777778,0,0,0,1,1,1,1
112,7,4.294444444,2.872222222,0,1,0,1,1,1,1
112,18,3.538888889,4.127777778,0,1,1,0,1,1,1
112,16,4.522222222,5.905555556,0,1,1,1,1,1,1
112,23,4.683333333,5.961111111,0,1,0,1,1,1,1
112,20,4.444444444,5.905555556,0,0,1,1,1,1,1
112,13,1.072222222,1.072222222,0,0,0,1,0,0,1
112,1,3.433333333,4.394444444,0,1,1,0,1,1,1
112,24,1.133333333,3.577777778,0,0,0,1,1,1,1
112,17,4.588888889,4.277777778,0,1,1,0,1,1,1
113,12,3.069444444,1.606481481,1,1,1,0,1,1,1
113,6,1.606481481,1.606481481,1,0,0,0,0,0,0
113,21,3.537037037,1.75462963,1,0,0,1,1,1,1
113,8,3.236111111,2.375,1,0,0,1,0,1,1
113,16,3.180555556,1.990740741,1,1,1,0,1,1,1
113,1,1.726851852,1.791666667,1,1,0,0,1,0,0
113,3,3.189814815,2.351851852,1,0,1,0,1,1,1
113,22,4.12962963,4.981481481,1,0,0,0,0,1,1
113,19,2.430555556,3.953703704,1,1,1,1,1,1,1
113,7,1.606481481,1.606481481,1,0,0,0,0,0,0
113,11,2.953703704,1.736111111,1,0,1,1,1,1,1
113,17,3.222222222,2.097222222,1,1,0,0,1,0,1
113,10,3.189814815,2.300925926,1,1,1,1,1,1,1
113,2,3.194444444,2.467592593,1,0,1,1,1,1,1
113,9,3.430555556,2.203703704,1,1,0,1,1,1,1
113,14,3.925925926,4.560185185,1,0,0,1,1,1,1
113,5,3.37037037,2.921296296,1,1,0,1,1,1,1
113,4,2.921296296,3.50462963,1,0,0,1,0,1,1
113,13,1.736111111,2.430555556,1,0,1,0,1,1,1
113,20,3.935185185,3.282407407,1,0,1,0,1,1,1
113,24,3.25,1.949074074,1,0,0,0,1,1,1
113,15,3.518518519,2.291666667,1,0,1,0,1,1,1
113,18,1.708333333,1.49537037,1,0,0,1,0,0,1
