,participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
1536,159,2,4,3,4,4,4,2,4,4,3,4,4,2,4,3,4,3,2,3,3,4,4,4,4,3,2,2,1,1,1,2,2,2,2,2,1,3,3,2,2,3,2,0
1560,15,2,2,2,3,3,2,2,2,4,2,3,4,2,4,5,5,2,1,5,5,4,4,4,3,4,2,5,5,4,5,3,3,4,4,5,4,5,5,3,4,4,3,1
1584,160,4,4,3,4,1,1,2,3,4,3,4,4,4,4,1,4,4,2,4,2,4,4,4,4,4,2,2,2,3,2,3,1,1,1,3,3,3,1,3,3,3,1,0
1608,161,4,3,4,5,2,5,3,4,4,2,4,3,2,3,3,3,5,1,2,5,4,4,2,4,4,2,2,1,1,3,3,2,1,2,3,2,2,3,2,2,2,2,0
1632,162,4,4,5,1,1,2,3,4,5,4,3,5,4,2,5,5,4,2,4,5,1,1,1,1,3,5,2,1,1,3,2,3,3,2,4,2,1,4,4,2,3,1,0
1656,163,4,4,5,1,2,2,1,3,3,5,3,4,4,4,5,5,3,4,5,3,4,5,5,5,4,3,2,1,2,3,3,3,3,2,4,2,4,4,2,1,2,2,0
1680,164,4,4,1,1,2,2,1,2,4,5,5,4,4,5,1,1,5,4,1,5,5,5,4,5,5,1,4,5,2,4,3,3,5,5,4,2,3,5,3,2,4,2,0
1704,165,5,5,2,2,1,1,1,1,1,5,2,1,3,1,3,5,5,2,5,4,3,2,2,3,2,5,2,3,1,1,2,2,4,3,2,3,3,1,1,3,1,3,0
1728,166,2,2,4,2,2,2,2,3,4,2,5,5,4,4,3,2,2,3,4,5,4,2,2,4,3,4,2,3,3,2,3,2,2,3,2,3,3,4,3,3,2,4,0
1752,167,2,4,3,4,5,4,2,4,5,2,1,4,1,5,5,5,3,1,5,5,4,4,2,5,5,3,5,3,2,3,4,5,4,5,5,2,3,5,3,4,3,2,0
1776,168,2,2,5,4,4,4,4,3,4,4,5,5,3,5,3,4,4,2,3,4,3,2,2,4,4,4,4,3,2,2,3,2,3,4,4,3,3,3,4,4,3,3,0
1800,169,2,2,4,1,4,4,1,3,4,2,2,3,1,3,3,4,4,2,2,4,4,4,4,4,4,2,4,4,2,4,4,2,3,3,4,3,3,4,3,4,4,3,0
1824,16,2,2,2,1,4,2,1,2,4,3,2,2,1,2,4,4,2,1,5,4,1,1,1,2,1,5,3,1,2,1,4,3,2,4,3,1,2,3,4,3,3,2,1
1848,170,5,4,4,4,1,3,2,2,1,4,3,4,4,2,3,4,3,2,3,3,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,4,3,0
1872,171,5,5,3,1,1,3,1,1,2,5,1,1,5,1,4,5,2,1,5,1,1,4,1,1,4,4,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0
1896,172,2,2,4,2,4,4,2,4,4,2,4,4,2,4,1,1,4,4,2,4,4,2,4,4,4,2,3,4,3,4,3,3,3,3,4,3,2,3,3,3,3,2,0
1920,173,1,1,4,2,5,4,4,4,5,2,5,5,1,5,4,4,2,1,5,5,5,5,5,3,5,1,5,3,3,4,5,5,5,5,5,3,5,5,5,5,4,4,0
1944,174,2,2,5,4,5,4,4,4,5,4,4,4,4,5,2,2,4,3,4,5,5,4,5,5,4,4,5,4,2,3,4,3,2,1,5,4,5,5,5,5,4,4,0
1968,175,4,2,1,1,2,4,2,2,4,4,1,1,2,3,2,1,4,4,2,2,4,2,3,5,4,2,2,2,3,3,4,3,4,3,4,3,4,2,3,2,4,4,0
1992,176,4,4,2,2,1,2,1,4,4,4,2,5,4,4,4,3,5,2,5,2,4,2,5,2,5,1,4,4,2,4,3,4,4,5,3,3,4,2,3,2,2,3,0
2016,177,2,2,4,4,4,4,3,3,4,2,4,5,2,5,4,4,2,2,5,5,4,5,5,4,4,2,4,2,2,3,5,4,5,5,2,1,4,3,3,4,4,5,0
2040,178,2,2,4,5,4,4,4,3,2,3,3,3,3,3,4,4,3,2,3,3,4,4,4,4,4,2,4,4,4,5,4,4,4,5,5,3,5,5,3,4,5,5,0
2064,179,3,4,4,4,4,5,3,5,2,5,5,3,4,4,3,4,4,1,3,2,3,3,4,4,4,4,5,3,3,4,5,5,5,5,5,5,4,5,5,5,5,4,0
2088,17,1,1,3,4,4,5,5,4,5,3,3,4,1,4,3,4,4,2,5,4,4,3,4,5,4,2,3,3,4,4,3,2,1,5,4,2,4,4,5,4,3,4,1
2112,180,5,4,2,1,1,2,1,1,4,5,2,1,5,2,1,2,4,3,2,1,2,2,4,4,4,2,2,1,1,1,3,2,3,2,3,2,1,1,2,2,1,1,0
2136,181,5,4,2,3,2,2,1,1,3,5,4,2,3,4,4,4,4,2,4,5,1,1,1,5,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,0
2160,182,2,2,3,4,2,4,3,2,2,4,2,3,2,3,1,1,1,4,1,5,1,1,1,5,2,4,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,0
2184,183,4,4,4,2,2,2,1,1,4,4,2,2,4,2,4,5,4,2,2,4,2,2,1,1,2,4,2,3,1,3,2,2,2,3,2,2,1,3,3,2,2,2,0
2208,184,3,3,3,3,2,3,2,3,4,3,4,4,2,4,3,4,3,1,4,3,3,3,3,3,3,3,2,3,1,1,1,1,1,1,2,1,2,1,2,1,2,1,0
2232,185,2,2,4,4,4,4,3,4,3,4,2,3,4,4,1,1,5,4,2,4,3,3,3,4,3,4,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,0
2256,186,1,1,5,3,5,4,4,4,4,3,4,4,3,4,5,5,2,1,5,3,1,1,2,4,3,2,2,2,2,3,2,2,3,2,3,2,3,4,4,4,3,3,0
2280,187,2,2,3,2,4,4,3,3,3,3,4,4,3,3,3,3,2,2,4,3,3,4,3,3,4,2,3,3,3,3,2,1,3,3,3,2,2,3,3,3,3,2,0
2304,188,1,1,4,4,5,5,4,4,5,2,4,4,2,5,5,5,1,1,5,4,4,5,5,5,5,1,2,3,2,3,2,3,4,3,4,4,2,4,4,4,4,4,0
2328,189,2,4,1,1,2,1,1,2,2,4,2,5,5,5,4,5,2,1,4,4,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2352,18,1,1,4,4,5,5,1,4,3,2,4,4,3,4,4,3,2,2,5,4,3,4,3,3,4,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,5,1
2376,190,5,2,1,2,2,1,1,1,4,3,5,5,4,4,3,4,3,1,3,4,1,1,1,4,1,5,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,0
2400,191,2,3,4,4,3,3,4,3,4,2,5,5,3,4,5,5,3,2,4,3,4,3,2,4,4,4,3,4,4,4,4,3,2,2,5,1,4,2,2,3,2,2,0
2424,192,4,4,3,4,4,4,2,4,4,3,4,5,2,4,3,4,4,2,4,4,4,4,4,2,4,3,2,2,3,4,3,2,3,4,4,3,4,2,3,4,4,3,0
2448,193,4,4,3,3,2,2,2,1,3,3,3,2,5,3,2,3,5,5,3,4,3,2,3,3,3,3,3,2,1,3,2,1,1,3,3,3,1,3,1,1,1,1,0
2472,194,2,1,3,3,4,3,4,2,2,4,4,4,4,4,3,2,3,4,2,4,3,4,4,4,4,2,4,4,3,3,3,4,2,3,3,4,3,4,3,4,2,3,0
2496,195,4,2,4,4,3,4,3,2,5,3,3,2,1,3,3,4,2,3,2,5,4,4,4,5,4,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,2,0
2520,196,3,4,4,3,4,4,4,5,3,3,2,2,2,3,4,5,2,1,5,4,4,4,4,4,4,3,4,5,4,5,4,5,5,5,4,3,3,4,4,5,5,5,0
2544,197,3,3,3,4,3,3,4,4,2,4,4,4,4,3,1,1,4,4,2,3,2,3,4,4,4,2,4,4,3,4,4,3,3,4,5,3,3,2,5,4,3,4,0
2568,198,3,2,4,4,4,5,1,4,3,1,3,4,5,4,2,4,5,1,3,3,4,2,3,1,5,4,3,2,4,4,3,4,2,3,3,3,3,1,3,2,4,3,0
2592,199,4,4,1,1,2,1,1,1,1,4,1,2,3,1,1,1,2,5,1,2,4,2,4,4,2,2,2,3,2,4,3,3,4,3,3,2,1,3,3,3,3,3,0
2616,19,4,4,3,1,2,2,1,2,4,2,1,5,2,4,1,4,4,2,4,4,4,4,2,5,4,1,4,2,1,3,4,4,2,3,4,1,2,3,4,4,3,3,1
2640,1,4,4,2,1,3,4,1,4,2,2,5,4,2,4,4,5,4,1,5,4,4,1,2,2,2,4,4,4,4,2,3,3,4,4,5,4,4,5,3,3,3,4,1
2664,200,5,4,3,2,1,2,1,2,3,4,4,5,5,4,2,4,4,2,4,4,3,2,2,2,2,4,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,0
2688,20,2,4,4,3,2,4,1,3,3,4,2,4,3,2,5,5,1,1,5,4,3,4,2,3,4,2,3,4,4,2,4,3,3,4,4,1,3,3,5,4,5,4,1
2712,21,4,4,3,2,1,1,1,3,1,2,1,2,3,2,1,1,4,5,1,4,2,2,4,5,3,2,4,4,4,4,4,4,4,5,3,2,2,3,3,3,3,3,1
2736,22,2,2,2,1,2,2,1,2,3,4,1,1,3,2,4,4,3,3,4,4,2,1,3,4,3,4,3,3,2,4,4,4,4,4,4,2,2,4,3,3,3,3,1
2760,23,1,2,4,4,3,4,2,3,3,2,1,4,2,4,4,4,3,1,5,3,4,3,3,4,4,2,5,5,4,3,5,4,4,4,3,3,3,3,4,3,3,3,1
